1664954583.652126551 1.10040 0.00186 0.07099 -0.00162 -0.01429 0.02739 0.99952
1664954583.852126360 2.36699 -0.07167 0.17431 0.00011 -0.00030 0.03720 0.99931
1664954584.052126408 2.33941 -0.00003 0.11706 0.00049 -0.00720 0.04189 0.99910
1664954584.252126455 2.73784 -0.00487 0.21031 0.00066 -0.00908 0.04717 0.99885
1664954584.452126503 2.95363 0.01264 0.27113 0.00052 -0.01508 0.05468 0.99839
1664954584.652126551 3.15449 0.02790 0.30471 0.00491 -0.02190 0.06595 0.99757
1664954584.852126360 3.39126 0.06125 0.33659 0.00348 -0.02280 0.08026 0.99651
1664954585.052126408 3.57200 0.09403 0.34238 0.00368 -0.02633 0.09806 0.99483
1664954585.252126455 3.76355 0.13909 0.34589 0.00499 -0.02893 0.10354 0.99419
1664954585.452126503 3.98017 0.18759 0.34853 0.01088 -0.02567 0.10862 0.99369
1664954585.652126551 4.23823 0.25517 0.36952 0.00916 -0.02466 0.11394 0.99314
1664954585.852126360 4.50671 0.31623 0.37862 0.01146 -0.02205 0.11801 0.99270
1664954586.052126408 4.77352 0.39104 0.40082 0.01114 -0.02298 0.12195 0.99221
1664954586.252126455 5.04483 0.45969 0.41311 0.01010 -0.02392 0.12312 0.99205
1664954586.452126503 5.35518 0.54112 0.43267 0.01161 -0.02259 0.12077 0.99236
1664954586.652126551 5.69903 0.62704 0.44403 0.00689 -0.01926 0.11759 0.99285
1664954586.852126360 6.02651 0.70803 0.46372 0.01021 -0.01739 0.10242 0.99454
1664954587.052126408 6.27819 0.75907 0.46450 0.00750 -0.01715 0.08135 0.99651
1664954587.252126455 6.53156 0.79204 0.46544 0.00734 -0.01652 0.06971 0.99740
1664954587.452126503 6.80928 0.82754 0.46423 0.00602 -0.01475 0.06286 0.99790
1664954587.652126551 7.07041 0.85111 0.46163 0.00553 -0.01325 0.05838 0.99819
1664954587.852126360 7.35222 0.89046 0.47583 0.00564 -0.01554 0.05559 0.99832
1664954588.052126408 7.54991 0.89591 0.47066 0.00652 -0.01642 0.05186 0.99850
1664954588.252126455 7.82083 0.93119 0.48633 0.00564 -0.01660 0.05134 0.99853
1664954588.452126503 8.12115 0.95815 0.49753 0.00691 -0.01166 0.05007 0.99865
1664954588.652126551 8.33601 0.95649 0.49132 0.00631 -0.01321 0.04898 0.99869
1664954588.852126360 8.66770 0.98477 0.50865 0.00836 -0.01528 0.04784 0.99870
1664954589.052126408 8.90701 0.99381 0.50484 0.00477 -0.01792 0.04655 0.99874
1664954589.252126455 9.25160 1.02015 0.51786 0.00619 -0.01482 0.04223 0.99898
1664954589.452126503 9.51046 1.02000 0.51434 0.00686 -0.01049 0.03480 0.99932
1664954589.652126551 9.84789 1.04384 0.52431 0.00499 -0.00702 0.03023 0.99951
1664954589.852126360 10.14214 1.05896 0.52375 0.00097 -0.00675 0.02593 0.99964
1664954590.052126408 10.47014 1.06309 0.53065 0.00514 -0.00708 0.01995 0.99976
1664954590.252126455 10.71959 1.07048 0.52766 0.00178 -0.01349 0.01202 0.99984
1664954590.452126503 11.00817 1.06963 0.53564 0.00157 -0.01140 0.00342 0.99993
1664954590.652126551 11.20566 1.05648 0.52706 0.00536 -0.01294 -0.00959 0.99986
1664954590.852126360 11.39542 1.04395 0.52235 0.00531 -0.01106 -0.02347 0.99965
1664954591.052126408 11.59496 1.02554 0.52132 0.00506 -0.01258 -0.03558 0.99928
1664954591.252126455 11.82184 0.99730 0.52257 0.00774 -0.01313 -0.04196 0.99900
1664954591.452126503 12.06536 0.96986 0.52455 0.00815 -0.01380 -0.04859 0.99869
1664954591.652126551 12.37515 0.93235 0.52989 0.00900 -0.00500 -0.05889 0.99821
1664954591.852126360 12.60145 0.90132 0.53119 0.00944 -0.00402 -0.07922 0.99680
1664954592.052126408 12.83305 0.85631 0.53128 0.00964 -0.00348 -0.09483 0.99544
1664954592.252126455 13.10168 0.79960 0.53315 0.00935 -0.00673 -0.10326 0.99459
1664954592.452126503 13.39148 0.73788 0.53415 0.00868 -0.00491 -0.11371 0.99346
1664954592.652126551 13.65577 0.67328 0.53588 0.00796 -0.00788 -0.12583 0.99199
1664954592.852126360 13.91671 0.60017 0.53789 0.00879 -0.00680 -0.13756 0.99043
1664954593.052207947 14.15786 0.52090 0.53675 0.01160 -0.00476 -0.16076 0.98691
1664954593.252500057 14.35306 0.46529 0.53537 0.00982 -0.00025 -0.19193 0.98136
1664954593.452500105 14.48036 0.41562 0.53360 0.00913 0.00217 -0.21450 0.97668
1664954593.652500153 14.51877 0.40038 0.53073 0.00889 0.00362 -0.23714 0.97143
1664954593.852499962 14.45892 0.40588 0.52644 0.00812 0.00048 -0.24652 0.96910
1664954594.052500010 14.42212 0.40419 0.52355 0.00717 0.00218 -0.25127 0.96789
1664954594.252500057 14.42375 0.39025 0.52434 0.00696 0.00280 -0.25525 0.96685
1664954594.452500105 14.48384 0.35106 0.52365 0.00681 0.00137 -0.25937 0.96575
1664954594.652500153 14.53127 0.31274 0.52483 0.00725 0.00052 -0.26643 0.96383
1664954594.852499962 14.63092 0.25391 0.52368 0.00595 0.00081 -0.27382 0.96176
1664954595.052500010 14.71363 0.19830 0.52344 0.00678 0.00210 -0.28239 0.95927
1664954595.252500057 14.83086 0.12951 0.52369 0.00310 0.00173 -0.29519 0.95543
1664954595.452500105 14.94378 0.03886 0.52390 0.00610 0.00263 -0.31730 0.94830
1664954595.652500153 15.04628 -0.03319 0.52402 0.00722 0.00389 -0.35536 0.93469
1664954595.852499962 15.10811 -0.08629 0.52482 0.00788 0.00354 -0.38521 0.92279
1664954596.052500010 15.15131 -0.12742 0.52467 0.00369 0.00268 -0.41291 0.91076
1664954596.252500057 15.19373 -0.17903 0.52353 0.00425 0.00276 -0.44289 0.89656
1664954596.452500105 15.23487 -0.25134 0.52248 0.00807 0.00153 -0.45989 0.88794
1664954596.652500153 15.27557 -0.32641 0.52143 0.01083 0.00086 -0.48255 0.87580
1664954596.852499962 15.32321 -0.36156 0.52199 0.00556 0.00185 -0.51755 0.85563
1664954597.052500010 15.34451 -0.42061 0.52135 0.00679 0.00131 -0.52453 0.85136
1664954597.252500057 15.37782 -0.50988 0.51921 0.00943 0.00192 -0.53838 0.84265
1664954597.452500105 15.42269 -0.57690 0.51795 0.00528 0.00367 -0.56007 0.82842
1664954597.652500153 15.44665 -0.66145 0.51754 0.00627 0.00260 -0.57123 0.82077
1664954597.852499962 15.47473 -0.74384 0.51684 0.00722 0.00355 -0.58839 0.80854
1664954598.052500010 15.49478 -0.83458 0.51520 0.00990 0.00416 -0.60738 0.79434
1664954598.252500057 15.51965 -0.92292 0.51302 0.00941 0.00442 -0.61245 0.79044
1664954598.452500105 15.55864 -1.00708 0.51864 -0.00188 0.00588 -0.61704 0.78691
1664954598.652500153 15.59536 -1.05114 0.53209 -0.02127 0.00106 -0.61871 0.78533
1664954598.852499962 15.58271 -1.08010 0.54370 -0.03312 -0.02856 -0.62052 0.78297
1664954599.052500010 15.58949 -1.09457 0.55253 -0.04676 -0.04343 -0.61579 0.78532
1664954599.252500057 15.60233 -1.17707 0.55830 -0.05439 -0.05754 -0.61684 0.78309
